bodytype,brand,mileage,color,engine,complectation,tax,transmission,drive,wheel,owners,customs,pts,year,price
Кузовлифтбек,Audi A5 II (F5),Пробег62 032 км,Цветчёрный,Двигатель2.0 л / 249 л.с. / Бензин,КомплектацияDesign 45 TFSI quattro S tronic,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 277 000 ₽Хорошая ценаСмотреть статистику цен
Кузовуниверсал 5 дв.,Audi A4 allroad V (B9),Пробег156 000 км,Цветбелый,Двигатель2.0 л / 190 л.с. / Дизель,Комплектация47 опций,,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,2 486 823 ₽Смотреть статистику цен
Кузовседан,Audi A6 40 TFSI V (C8),Пробег3 900 км,Цветчёрный,Двигатель2.0 л / 190 л.с. / Бензин,,Налог9 405 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,4 297 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег72 967 км,Цветсеребристый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация56 опций,Налог20 543 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 260 000 ₽Отличная ценаот 3 160 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег75 500 км,Цветкрасный,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация65 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,2 996 000 ₽Отличная ценаот 2 896 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег79 756 км,Цветсерый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация44 опции,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 835 000 ₽Отличная ценаот 2 630 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег50 000 км,Цветзелёный,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация9 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 283 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег63 294 км,Цветбелый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация30 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,2 847 000 ₽от 2 642 000 ₽ со скидками
Кузовседан,Audi A6 45 TFSI V (C8),Пробег17 088 км,Цветкрасный,Двигатель2.0 л / 245 л.с. / Бензин,Комплектация55 опций,Налог20 213 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,4 799 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег118 000 км,Цветчёрный,Двигатель3.2 л / 271 л.с. / Бензин,Комплектация51 опция,Налог40 650 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 279 000 ₽Хорошая ценаот 1 129 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q3 40 TFSI II (F3),Пробег15 839 км,Цветсиний,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация59 опций,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,4 549 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег72 000 км,Цветкоричневый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация30 опций,Налог14 625 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,2 149 000 ₽Смотреть статистику цен
